Index    name         key              s           l     floor.x         floor.y         floor.z         floor.theta     floor.phi       floor.psi       spin.x          spin.y          spin.z
    139  L296         Drift               15.796   0.070   -0.0000000000    0.0000000000   15.7839225503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    140  SCA22        Drift               15.796   0.000   -0.0000000000    0.0000000000   15.7839225503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    141  L298         Drift               15.838   0.043   -0.0000000000    0.0000000000   15.8264225503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    142  L299         Drift               15.895   0.057   -0.0000000000    0.0000000000   15.8829327503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    143  AKA23        Lcavity             15.930   0.035   -0.0000000000    0.0000000000   15.9179225503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    144  PACA23       Marker              15.930   0.000   -0.0000000000    0.0000000000   15.9179225503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    145  ACA23        Lcavity             16.489   0.560   -0.0000000000    0.0000000000   16.4777593503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    146  SXA23        Sbend               16.489   0.000   -0.0000000000    0.0000000000   16.4777593503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    147  SYA23        Sbend               16.489   0.000   -0.0000000000    0.0000000000   16.4777593503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    148  ACA232       Lcavity             17.819   1.330   -0.0000000000    0.0000000000   17.8073717503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    149  PACA23       Marker              17.819   0.000   -0.0000000000    0.0000000000   17.8073717503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    150  AKA23        Lcavity             17.854   0.035   -0.0000000000    0.0000000000   17.8423615503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    151  L306         Drift               17.910   0.057   -0.0000000000    0.0000000000   17.8988717503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    152  L307         Drift               17.953   0.043   -0.0000000000    0.0000000000   17.9413717503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    153  SPA23        Drift               17.953   0.000   -0.0000000000    0.0000000000   17.9413717503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    154  L309         Drift               18.013   0.060   -0.0000000000    0.0000000000   18.0013717503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    155  QDA23        Quadrupole          18.088   0.075   -0.0000000000    0.0000000000   18.0763717503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    156  L311         Drift               18.175   0.087   -0.0000000000    0.0000000000   18.1633717503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    157  QFA23        Quadrupole          18.296   0.121   -0.0000000000    0.0000000000   18.2843717503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
